id;estado;setor;faturamento_informado;divida_total_pj;score;taxa;atraso_corrente;prazo;valor_contrato;valor_contrato_mais_juros;valor_em_aberto
171355;SP;VAREJO;10000;928;511;5,481;0;8,4;5455,065;6337,2;0
17520;RJ;SERVICOS PROFISSIONAIS E TECNICOS;50000;28000;895;4,5045;0;12,6;27742,9845;32598,84;0
32582;SC;ATACADO;150000;18000;391;4,326;0;6,3;32542,7655;34508,4;0
42267;MG;VAREJO;50000;29000;120;6,069;0;5,25;5385,1455;5931,2;0
50053;PA;VAREJO;110000;0;448;4,263;0;3,15;16017,687;16269,54;0
61704;SP;SERVICOS DE ALOJAMENTO/ALIMENTACAO;60000;2000;405;4,3155;0;12,6;16648,947;19746,24;0
67253;MA;SERVICOS DE EDUCACAO;45000;59000;403;4,935;0;18,9;19347,7095;26112,78;0
68498;SP;SERVICOS ADMINISTRATIVOS;20000;13000;648;3,864;0;12,6;5550,3945;6483,36;0
71836;BA;SERVICOS PROFISSIONAIS E TECNICOS;450000;70000;244;3,9585;0;6,3;75940,452;79813,44;0
73556;RJ;VAREJO;100000;8000;433;4,263;0;12,6;22194,7215;25772,52;0
83633;RJ;TRANSPORTE;36000;4000;223;6,489;0;12,6;11097,3345;14544,24;0
89822;SP;ATACADO;50000;127000;846;4,914;0;18,9;28654,437;38064,42;0
91083;SC;ATACADO;1100000;3342000;437;3,738;0;12,6;111577,8195;124991,52;0
122147;GO;VAREJO;150000;0;330;4,872;707;12,6;20088,3795;24172,2;8048,65
122688;SP;VAREJO;45000;5000;680;4,389;0;12,6;22201,998;26883,96;0
124798;GO;VAREJO;120000;206000;582;4,9665;0;12,6;22198,449;27347,28;0
143139;ES;VAREJO;200000;240000;268;4,683;1136;6,3;27045,2385;29650,98;19767,32
166682;GO;VAREJO;185000;204000;369;4,326;0;12,6;66985,611;79107;0
167514;SP;VAREJO;23000;0;541;4,851;0;12,6;11099,508;13622,04;0
169417;MA;BENS DE CONSUMO;106637;48000;415;4,515;1116;6,3;16225,398;17495,4;11156,28
173860;AL;SERVICOS DE EDUCACAO;82000;83000;221;5,2815;934;8,4;10913,07;12980,56;1214,4
